Rank,Nickname,Points,DateOfPeriodStart
1,Ninjed,2707,2016-05-05
2,Ninjed,2675,2016-05-06
3,Ninjed,2671,2016-05-07
4,Ninjed,2541,2016-05-08
5,Ninjed,2514,2016-05-14
6,Ninjed,2511,2016-05-13
7,Ninjed,2489,2016-05-15
8,Ninjed,2486,2016-05-09
9,Ninjed,2478,2016-05-12
10,Ninjed,2462,2016-05-11
11,Zoɇy,2453,2018-08-19
12,Ninjed,2429,2016-05-10
13,Brokecdx-,2422,2018-12-10
14,Brokecdx-,2417,2018-12-03
15,Zoɇy,2409,2018-08-20
16,Zoɇy,2405,2018-08-21
17,Graves,2403,2016-12-24
18,Graves,2400,2016-12-26
19,Graves,2398,2016-12-25
20,Brokecdx-,2394,2018-12-05
21,Brokecdx-,2392,2018-12-09
22,Brokecdx-,2391,2018-12-11
23,Brokecdx-,2377,2018-12-04
24,Zoɇy,2377,2018-08-18
25,Brokecdx-,2375,2018-12-01
26,Graves,2366,2016-12-22
27,Brokecdx-,2361,2018-12-06
28,Zoɇy,2360,2018-08-22
29,Ninjed,2355,2016-05-16
30,Brokecdx-,2340,2018-12-12
31,Brokecdx-,2337,2018-12-02
32,Brokecdx-,2329,2018-12-08
33,Zoɇy,2329,2018-08-17
34,Graves,2327,2016-12-21
35,Brokecdx-,2325,2018-11-30
36,Ninjed,2318,2016-05-17
37,Ninjed,2304,2016-05-18
38,Graves,2301,2016-12-17
39,Brokecdx-,2296,2018-11-28
40,Graves,2290,2016-12-23
41,Zoɇy,2287,2018-08-15
42,Zoɇy,2284,2018-08-23
43,Zoɇy,2280,2018-08-14
44,Graves,2274,2016-12-20
45,Brokecdx-,2269,2018-11-29
46,Graves,2261,2016-12-19
47,Zoɇy,2259,2018-08-16
48,NISO,2255,2016-12-16
49,Graves,2255,2016-12-18
50,NISO,2251,2016-12-24
51,NISO,2250,2016-12-17
52,Graves,2247,2016-12-16
53,Graves,2245,2016-12-14
54,Graves,2243,2016-12-11
55,Graves,2241,2016-12-10
56,Pumpkin,2237,2016-02-15
57,Graves,2228,2016-12-12
58,Graves,2227,2016-12-08
59,Tyga.,2223,2017-06-27
60,Brokecdx-,2221,2018-12-13
61,Pumpkin,2221,2016-02-14
62,Graves,2219,2016-12-13
63,Brokecdx-,2214,2018-11-27
64,Pumpkin,2207,2016-02-16
65,Graves,2206,2016-12-15
66,Graves,2205,2016-12-09
67,Zoɇy,2201,2018-08-24
68,NISO,2197,2016-12-14
69,NISO,2197,2016-12-15
70,Brokecdx-,2196,2018-12-07
71,NISO,2196,2016-12-25
72,NISO,2193,2016-12-18
73,Brokecdx-,2187,2018-11-25
74,Brokecdx-,2187,2018-11-26
75,Ninjed,2177,2016-05-19
76,Ninjed,2177,2016-05-20
77,NISO,2177,2016-12-26
78,Zoɇy,2177,2018-08-25
79,NISO,2172,2016-12-23
80,milk,2169,2015-06-25
81,NISO,2167,2016-12-22
82,Pumpkin,2165,2016-02-13
83,NISO,2160,2016-12-21
84,BaconDrink,2157,2018-06-23
85,Brokecdx-,2151,2018-11-24
86,Graves,2150,2016-12-27
87,NISO,2147,2016-12-19
88,Zoɇy,2139,2018-08-26
89,milk,2138,2015-03-10
90,milk,2138,2015-03-11
91,NISO,2135,2016-12-13
92,Pumpkin,2131,2016-02-12
93,Pumpkin,2127,2016-02-17
94,BaconDrink,2124,2018-06-22
95,milk,2123,2015-03-12
96,NISO,2120,2016-12-27
97,BaconDrink,2120,2018-06-24
98,milk,2117,2015-06-23
99,milk,2116,2015-06-22
100,NISO,2116,2016-12-09
